id	path	name	movements	link	imslp	composer_id
13145233	Schubert,_Franz/String_Quartet_in_B-flat_major,_D.36,_No.3	String Quartet in B-flat major, D.36, No.3	4	https://musescore.com/openscore-string-quartets/sets/13145233	#03660 	7312
5162489	Schubert,_Franz/String_Quartet_in_C_minor,_D.703,_No.12	String Quartet in C minor, D.703, No.12	1	https://musescore.com/openscore-string-quartets/sets/5162489	#04039	7312
5108909	Schubert,_Franz/String_Quartet_in_D_minor,_D.810,_No.14_(“Death_and_the_Maiden”)	String Quartet in D minor, D.810, No.14 (“Death and the Maiden”)	4	https://musescore.com/openscore-string-quartets/sets/5108909	#04047	7312
13145797	Schubert,_Franz/String_Quartet_in_E-flat_major,_D.87,_No.10	String Quartet in E-flat major, D.87, No.10	4	https://musescore.com/openscore-string-quartets/sets/13145797	#03961	7312
13145830	Schubert,_Franz/String_Quartet_in_E_major,_D.353,_No.11	String Quartet in E major, D.353, No.11	4	https://musescore.com/openscore-string-quartets/sets/13145830	#04001	7312
5108910	Schubert,_Franz/String_Quartet_in_G_major,_D.887,_No.15	String Quartet in G major, D.887, No.15	4	https://musescore.com/openscore-string-quartets/sets/5108910	#04050	7312
5108568	Schubert,_Franz/String_Quartet_in_G_minor,_D.18,_No.1	String Quartet in G minor, D.18, No.1	4	https://musescore.com/openscore-string-quartets/sets/5108568	#03643 	7312
5108911	Schulhoff,_Erwin/String_Quartet_No.1	String Quartet No.1	4	https://musescore.com/openscore-string-quartets/sets/5108911	#581718	89540
5108569	Schumann,_Robert/String_Quartet_No.1,_Op.41_No.1	String Quartet No.1, Op.41 No.1	4	https://musescore.com/openscore-string-quartets/sets/5108569	#289569	7351
5108912	Schumann,_Robert/String_Quartet_No.2,_Op.41_No.2	String Quartet No.2, Op.41 No.2	4	https://musescore.com/openscore-string-quartets/sets/5108912	#289570	7351
5108913	Schumann,_Robert/String_Quartet_No.3,_Op.41_No.3	String Quartet No.3, Op.41 No.3	4	https://musescore.com/openscore-string-quartets/sets/5108913	#289667	7351
5108519	Smetana,_Bedřich/String_Quartet_No.1	String Quartet No.1	4	https://musescore.com/openscore-string-quartets/sets/5108519	#362678	48173
5108481	Smyth,_Ethel/String_Quartet_in_E_minor	String Quartet in E minor	4	https://musescore.com/openscore-string-quartets/sets/5108481	#346160	236599
5108863	Spohr,_Louis/String_Quartet_No.1,_Op.4_No.1	String Quartet No.1, Op.4 No.1	4	https://musescore.com/openscore-string-quartets/sets/5108863	#68912	57226
5108861	Stanford,_Charles_Villiers/String_Quartet_No.1,_Op.44	String Quartet No.1, Op.44	4	https://musescore.com/openscore-string-quartets/sets/5108861	#67817	368264
5108860	Stenhammar,_Wilhelm/String_Quartet_No.1,_Op.2	String Quartet No.1, Op.2	4	https://musescore.com/openscore-string-quartets/sets/5108860	#68086	435688
5108859	Stenhammar,_Wilhelm/String_Quartet_No.4	String Quartet No.4	4	https://musescore.com/openscore-string-quartets/sets/5108859	#68100	435688
5108858	Strauss,_Richard/String_Quartet_in_A_major,_Op.2	String Quartet in A major, Op.2	4	https://musescore.com/openscore-string-quartets/sets/5108858	#79337	13894
5531432	Suk,_Josef/String_Quartet_No.1,_Op.11	String Quartet No.1, Op.11	4	https://musescore.com/openscore-string-quartets/sets/5531432	#44031	312700
5108570	Tchaikovsky,_Pyotr_Ilyich/String_Quartet_No.1,_Op.11	String Quartet No.1, Op.11	4	https://musescore.com/openscore-string-quartets/sets/5108570	#519207	7315
5108571	Verdi,_Giuseppe/String_Quartet	String Quartet	4	https://musescore.com/openscore-string-quartets/sets/5108571	#106276	7317
6744169	Vieuxtemps,_Henri/String_Quartet_No.1,_Op.44	String Quartet No.1, Op.44	4	https://musescore.com/openscore-string-quartets/sets/6744169	#80494	312790
6278536	Viotti,_Giovanni_Battista/String_Quartet_in_E_minor,_W_2a.2	String Quartet in E minor, W 2a.2	3	https://musescore.com/openscore-string-quartets/sets/6278536	#551376	313188
6278530	Viotti,_Giovanni_Battista/String_Quartet_in_G_minor,_W_2a.1	String Quartet in G minor, W 2a.1	3	https://musescore.com/openscore-string-quartets/sets/6278530	#556234	313188
5626515	Wolf,_Hugo/Italian_Serenade	Italian Serenade	1	https://musescore.com/openscore-string-quartets/sets/5626515	#40911	215747
5574612	Wolf,_Hugo/String_Quartet	String Quartet	4	https://musescore.com/openscore-string-quartets/sets/5574612	#322751	215747
5108575	Zemlinsky,_Alexander_von/String_Quartet_No.1,_Op.4	String Quartet No.1, Op.4	4	https://musescore.com/openscore-string-quartets/sets/5108575	#27833	78524
5684136	Zemlinsky,_Alexander_von/String_Quartet_No.2,_Op.15	String Quartet No.2, Op.15	6	https://musescore.com/openscore-string-quartets/sets/5684136	#57303	78524
5684175	Zemlinsky,_Alexander_von/String_Quartet_No.3,_Op.19	String Quartet No.3, Op.19	4	https://musescore.com/openscore-string-quartets/sets/5684175	#647870	78524
