id	path	name	link	imslp	set_id
7397765	Schubert,_Franz/String_Quartet_in_D_minor,_D.810,_Op.14_(“Death_and_the_Maiden”)	String Quartet in D minor, D.810, Op.14 (“Death and the Maiden”)	https://musescore.com/openscore-string-quartets/scores/7397765	#04047	5108909
8630159	Schulhoff,_Erwin/String_Quartet_No.1	String Quartet No.1	https://musescore.com/openscore-string-quartets/scores/8630159	#581718	5108911
9010547	Schumann,_Robert/String_Quartet_No.1,_Op.41_No.1	String Quartet No.1, Op.41 No.1	https://musescore.com/openscore-string-quartets/scores/9010547	#289569	5108569
9529900	Schumann,_Robert/String_Quartet_No.3,_Op.41_No.3	String Quartet No.3, Op.41 No.3	https://musescore.com/openscore-string-quartets/scores/9529900	#289667	5108913
7483523	Smetana,_Bedřich/String_Quartet_No.1	String Quartet No.1	https://musescore.com/openscore-string-quartets/scores/7483523	#362678	5108519
7555331	Smyth,_Ethel/String_Quartet_in_E_minor	String Quartet in E minor	https://musescore.com/openscore-string-quartets/scores/7555331	#346160	5108481
10517302	Stanford,_Charles_Villiers/String_Quartet_No.1,_Op.44	String Quartet No.1, Op.44	https://musescore.com/openscore-string-quartets/scores/10517302	#67817	5108861
9608209	Strauss,_Richard/String_Quartet_in_A_major,_Op.2	String Quartet in A major, Op.2	https://musescore.com/openscore-string-quartets/scores/9608209	#79337	5108858
8812200	Wolf,_Hugo/Italian_Serenade	Italian Serenade	https://musescore.com/openscore-string-quartets/scores/8812200	#40911	5626515
8823783	Wolf,_Hugo/String_Quartet	String Quartet	https://musescore.com/openscore-string-quartets/scores/8823783	#322751	5574612
